ID,Lattitude,Longtitude,Add+Sub,location
76,-37.7283963,144.8852428,"33 Bowes Av, Airport West","Bowes Avenue, Airport West, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
77,-37.7283963,144.8852428,"89 Bowes Av, Airport West","Bowes Avenue, Airport West, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
78,-37.7282985,144.8763379,"45 Laurence Av, Airport West","Laurence Avenue, Airport West, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
84,-37.7250487,144.8696368,"81a Roberts Rd, Airport West","Roberts Road, Airport West, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
87,-37.7319073,144.8884643,"3/24 Elstone Av, Airport West","Elstone Avenue, Airport West, Niddrie, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
89,-37.7197834,144.8773868,"37a North St, Airport West","North Street, Airport West, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
91,-37.7283963,144.8852428,"1/69 Bowes Av, Airport West","Bowes Avenue, Airport West, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
92,-37.7283251,144.8825444,"2/9 El Reno Cr, Airport West","El Reno Crescent, Airport West, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
93,-37.7321107,144.8806137,"92 McNamara Av, Airport West","McNamara Avenue, Airport West, Niddrie, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
95,-37.732047,144.8872292,"20 Creswell Av, Airport West","Creswell Avenue, Airport West, Niddrie, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
97,-37.7283963,144.8852428,"71 Bowes Av, Airport West","Bowes Avenue, Airport West, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
99,-37.7192957,144.8806564,"2/112 Parer Rd, Airport West","Parer Road, Airport West, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
107,-37.7321107,144.8806137,"7 McNamara Av, Airport West","McNamara Avenue, Airport West, Niddrie, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
111,-37.727182,144.874754,"1/41 Hillside Gr, Airport West","Hillside Grove, Airport West, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
115,-37.7263219,144.8873116,"7/42 York St, Airport West","York Street, Airport West, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
123,-37.7321107,144.8806137,"4/40 McNamara Av, Airport West","McNamara Avenue, Airport West, Niddrie, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
124,-37.7321107,144.8806137,"5/93 McNamara Av, Airport West","McNamara Avenue, Airport West, Niddrie, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
125,-37.7321107,144.8806137,"2/137 McNamara Av, Airport West","McNamara Avenue, Airport West, Niddrie, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
126,-37.7283963,144.8852428,"1/46 Bowes Av, Airport West","Bowes Avenue, Airport West, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
127,-37.7319073,144.8884643,"1/34 Elstone Av, Airport West","Elstone Avenue, Airport West, Niddrie, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
130,-37.732044,144.885991,"22a Walters Av, Airport West","Walters Avenue, Airport West, Niddrie, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
131,-37.7192957,144.8806564,"1/145 Parer Rd, Airport West","Parer Road, Airport West, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
132,-37.732044,144.885991,"3/35 Walters Av, Airport West","Walters Avenue, Airport West, Niddrie, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
146,-37.84490205,144.950214,"114 Victoria Av, Albert Park","114, Victoria Avenue, Albert Park, St Kilda West, Melbourne, City of Port Phillip, Victoria, 3206, Australia"
184,-37.8416028,144.9549718,"3 Faussett St, Albert Park","Faussett Street, Albert Park, St Kilda West, Melbourne, City of Port Phillip, Victoria, 3182, Australia"
198,-37.7863204,145.0315181,"1/9 Roemer Cr, Alphington","Roemer Crescent, Alphington, Fairfield, Melbourne, City of Yarra, Victoria, 3078, Australia"
200,-37.7673266,145.0284213,"2/21 Fulham Rd, Alphington","Fulham Road, Alphington, Melbourne, City of Darebin, Victoria, 3078, Australia"
208,-37.7812093,145.0354593,"69 Lucerne Cr, Alphington","Lucerne Crescent, Alphington, Fairfield, Melbourne, City of Yarra, Victoria, 3078, Australia"
212,-37.7854427,145.0249331,"1/17 Rex Av, Alphington","Rex Avenue, Alphington, Fairfield, Melbourne, City of Yarra, Victoria, 3078, Australia"
222,-37.7673266,145.0284213,"13a Fulham Rd, Alphington","Fulham Road, Alphington, Melbourne, City of Darebin, Victoria, 3078, Australia"
223,-37.7838778,145.0241787,"32/23 Coate Av, Alphington","Coate Avenue, Alphington, Fairfield, Melbourne, City of Yarra, Victoria, 3078, Australia"
225,-37.7824131,145.0209052,"6/11 Broomfield Av, Alphington","Broomfield Avenue, Alphington, Fairfield, Melbourne, City of Yarra, Victoria, 3078, Australia"
240,-37.8562921,144.8187409,"1/4 Deavey Ct, Altona","Deavey Court, Altona, Melbourne, City of Hobsons Bay, Victoria, 3018, Australia"
252,-37.8690527,144.8370697,"54 Seves St, Altona","Seves Street, Altona, Seaholme, Melbourne, City of Hobsons Bay, Victoria, 3018, Australia"
254,-37.8610817,144.8099002,"2/6 Galvin St, Altona","Galvin Street, Altona, Melbourne, City of Hobsons Bay, Victoria, 3018, Australia"
256,-37.8737101,144.8125058,"10 Wilga Av, Altona","Wilga Avenue, Altona, Melbourne, City of Hobsons Bay, Victoria, 3018, Australia"
266,-37.8670929,144.8099071,"5a Emu Av, Altona","Emu Avenue, Altona, Melbourne, City of Hobsons Bay, Victoria, 3018, Australia"
273,-37.8594136,144.8237298,"12 Ransom Av, Altona","Ransom Avenue, Altona, Melbourne, City of Hobsons Bay, Victoria, 3018, Australia"
286,-37.8402759,144.8488181,"103 Sixth Av, Altona North","Sixth Avenue, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
287,-37.8387094,144.8646651,"80A Hansen St, Altona North","Hansen Street, Altona North, South Kingsville, Melbourne, City of Hobsons Bay, Victoria, 3015, Australia"
296,-37.8266398,144.8532673,"58a Clematis Av, Altona North","Clematis Avenue, Altona North, South Kingsville, Melbourne, City of Hobsons Bay, Victoria, 3015, Australia"
297,-37.8387094,144.8646651,"1/77 Hansen St, Altona North","Hansen Street, Altona North, South Kingsville, Melbourne, City of Hobsons Bay, Victoria, 3015, Australia"
298,-37.8415985,144.8425056,"21 Joel Av, Altona North","Joel Avenue, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
300,-37.8352425,144.8642079,"2/5 Stapley Cr, Altona North","Stapley Crescent, Altona North, South Kingsville, Melbourne, City of Hobsons Bay, Victoria, 3015, Australia"
302,-37.8407935,144.8538314,"2/9 First Av, Altona North","First Avenue, Altona North, Williamstown North, Melbourne, City of Hobsons Bay, Victoria, 3016, Australia"
303,-37.8279296,144.8426199,"1/28 Irwin Av, Altona North","Irwin Avenue, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
304,-37.8279746,144.8402127,"3/49 Misten Av, Altona North","Misten Avenue, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
307,-37.8388561,144.8510505,"9 Fourth Av, Altona North","Fourth Avenue, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
308,-37.8301569,144.8470627,"11a Edward Av, Altona North","Edward Avenue, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
311,-37.8448964,144.8504717,"1B Paproth Gr, Altona North","Paproth Grove, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
312,-37.8367041,144.8483834,"7 Seventh Av, Altona North","Seventh Avenue, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
315,-37.8407935,144.8538314,"56a First Av, Altona North","First Avenue, Altona North, Williamstown North, Melbourne, City of Hobsons Bay, Victoria, 3016, Australia"
318,-37.8407935,144.8538314,"85a First Av, Altona North","First Avenue, Altona North, Williamstown North, Melbourne, City of Hobsons Bay, Victoria, 3016, Australia"
319,-37.8415985,144.8425056,"22 Joel Av, Altona North","Joel Avenue, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
320,-37.8314651,144.8506172,"11 Mahon Av, Altona North","Mahon Avenue, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
323,-37.8347394,144.861058,"2/10 Cleghorn Av, Altona North","Cleghorn Avenue, Altona North, South Kingsville, Melbourne, City of Hobsons Bay, Victoria, 3015, Australia"
324,-37.8301569,144.8470627,"2 Edward Av, Altona North","Edward Avenue, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
326,-37.8419166,144.8526127,"128 Second Av, Altona North","Second Avenue, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
327,-37.8281592,144.8500042,"5/24 Valerian Av, Altona North","Valerian Avenue, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
328,-37.8387262,144.8440881,"2/31 Cooper Av, Altona North","Cooper Avenue, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
329,-37.831936,144.8551551,"9 Begonia Av, Altona North","Begonia Avenue, Altona North, South Kingsville, Melbourne, City of Hobsons Bay, Victoria, 3015, Australia"
330,-37.8286163,144.8545436,"1/36 Amaranth Av, Altona North","Amaranth Avenue, Altona North, South Kingsville, Melbourne, City of Hobsons Bay, Victoria, 3015, Australia"
331,-37.8286163,144.8545436,"3/36 Amaranth Av, Altona North","Amaranth Avenue, Altona North, South Kingsville, Melbourne, City of Hobsons Bay, Victoria, 3015, Australia"
332,-37.8387262,144.8440881,"61 Cooper Av, Altona North","Cooper Avenue, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
333,,,"10 Freemans St, Altona North",
336,-37.839514,144.8587806,"150A McIntosh Rd, Altona North","McIntosh Road, Altona North, South Kingsville, Melbourne, City of Hobsons Bay, Victoria, 3015, Australia"
341,-37.8347394,144.861058,"19 Cleghorn Av, Altona North","Cleghorn Avenue, Altona North, South Kingsville, Melbourne, City of Hobsons Bay, Victoria, 3015, Australia"
345,-37.8279091,144.8389726,"1/21 Freemans Rd, Altona North","Freemans Road, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
351,-37.8364251,144.8504649,"81 Fifth Av, Altona North","Fifth Avenue, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
352,-37.8315823,144.8517468,"23 Huxtable Av, Altona North","Huxtable Avenue, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
354,-37.8407935,144.8538314,"61a First Av, Altona North","First Avenue, Altona North, Williamstown North, Melbourne, City of Hobsons Bay, Victoria, 3016, Australia"
357,-37.8364251,144.8504649,"1/33 Fifth Av, Altona North","Fifth Avenue, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
362,-37.835868,144.8578342,"56a MacDonald Av, Altona North","Macdonald Avenue, Altona North, South Kingsville, Melbourne, City of Hobsons Bay, Victoria, 3015, Australia"
363,-37.8402759,144.8488181,"126 Sixth Av, Altona North","Sixth Avenue, Altona North, Melbourne, City of Hobsons Bay, Victoria, 3025, Australia"
370,-37.8577018,145.0264258,"28 Lambeth Av, Armadale","Lambeth Avenue, Armadale, Malvern, Melbourne, City of Stonnington, Victoria, 3144, Australia"
373,-37.8653582,145.0262562,"1/7 Railway Av, Armadale","Railway Avenue, Armadale, Malvern, Melbourne, City of Stonnington, Victoria, 3144, Australia"
374,-37.860246,145.0270214,"65 Barkly Av, Armadale","Barkly Avenue, Armadale, Malvern, Melbourne, City of Stonnington, Victoria, 3144, Australia"
389,-37.860246,145.0270214,"37 Barkly Av, Armadale","Barkly Avenue, Armadale, Malvern, Melbourne, City of Stonnington, Victoria, 3144, Australia"
451,-37.860246,145.0270214,"48 Barkly Av, Armadale","Barkly Avenue, Armadale, Malvern, Melbourne, City of Stonnington, Victoria, 3144, Australia"
462,-37.8577018,145.0264258,"7 Lambeth Av, Armadale","Lambeth Avenue, Armadale, Malvern, Melbourne, City of Stonnington, Victoria, 3144, Australia"
464,-37.8609414,145.0157758,"10/507 Dandenong Rd, Armadale","Dandenong Road, Armadale, Prahran, Melbourne, City of Stonnington, Victoria, 3181, Australia"
474,-37.8609414,145.0157758,"8/507 Dandenong Rd, Armadale","Dandenong Road, Armadale, Prahran, Melbourne, City of Stonnington, Victoria, 3181, Australia"
477,-37.8577018,145.0264258,"37 Lambeth Av, Armadale","Lambeth Avenue, Armadale, Malvern, Melbourne, City of Stonnington, Victoria, 3144, Australia"
489,-37.7779653,144.9072747,"42 Archer Av, Ascot Vale","Archer Avenue, Ascot Chase, Ascot Vale, Melbourne, City of Moonee Valley, Victoria, 3032, Australia"
498,-37.7751382,144.9220311,"25 Station Av, Ascot Vale","Station Avenue, Ascot Vale, Melbourne, City of Moonee Valley, Victoria, 3032, Australia"
511,-37.7751382,144.9220311,"7a Station Av, Ascot Vale","Station Avenue, Ascot Vale, Melbourne, City of Moonee Valley, Victoria, 3032, Australia"
513,-37.7831299,144.9195184,"5/39 Sandown Rd, Ascot Vale","Sandown Road, Ascot Vale, Melbourne, City of Moonee Valley, Victoria, 3032, Australia"
518,-37.7760964,144.905842,"17 Aspect Av, Ascot Vale","Aspect Avenue, Ascot Vale, Melbourne, City of Moonee Valley, Victoria, 3032, Australia"
524,-37.7845605,144.9069373,"6 Leonard Cr, Ascot Vale","Leonard Crescent, Ascot Vale, Melbourne, City of Moonee Valley, Victoria, 3032, Australia"
529,-37.780166,144.9038511,"32 Myross Av, Ascot Vale","Myross Avenue, Ascot Vale, Melbourne, City of Moonee Valley, Victoria, 3032, Australia"
532,-37.7801508,144.9027327,"1 Nairn Av, Ascot Vale","Nairn Avenue, Ascot Vale, Melbourne, City of Moonee Valley, Victoria, 3032, Australia"
535,-37.7718531,144.9028457,"55 Hunt Cr, Ascot Vale","Hunt Crescent, Ascot Vale, Melbourne, City of Moonee Valley, Victoria, 3032, Australia"
542,-37.7801874,144.9061073,"4 Morphett Av, Ascot Vale","Morphett Avenue, Ascot Vale, Melbourne, City of Moonee Valley, Victoria, 3032, Australia"
561,-37.7760964,144.905842,"3 Aspect Av, Ascot Vale","Aspect Avenue, Ascot Vale, Melbourne, City of Moonee Valley, Victoria, 3032, Australia"
571,-37.7732486,144.9340519,"6/37 Myrnong Cr, Ascot Vale","Myrnong Crescent, Ascot Vale, Travancore, Melbourne, City of Moonee Valley, Victoria, 3032, Australia"
578,-37.7779702,144.9161948,"19 Dunlop Av, Ascot Vale","Dunlop Avenue, Ascot Vale, Melbourne, City of Moonee Valley, Victoria, 3032, Australia"
592,-37.780166,144.9038511,"1 Myross Av, Ascot Vale","Myross Avenue, Ascot Vale, Melbourne, City of Moonee Valley, Victoria, 3032, Australia"
593,-37.7831299,144.9195184,"4/33 Sandown Rd, Ascot Vale","Sandown Road, Ascot Vale, Melbourne, City of Moonee Valley, Victoria, 3032, Australia"
598,-37.8609152,145.0896375,"1 Wilgra Av, Ashburton","Wilgra Avenue, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
605,-37.8697749,145.0857401,"50 Warner Av, Ashburton","Warner Avenue, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
606,-37.8676711,145.0865642,"2 Benghazi Av, Ashburton","Benghazi Avenue, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
608,-37.8669705,145.0814741,"36 Morotai Av, Ashburton","Morotai Avenue, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
610,-37.8630815,145.0764218,"60 Munro Av, Ashburton","Munro Avenue, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
612,-37.8695328,145.0868337,"1/6 Crete Av, Ashburton","Crete Avenue, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
613,-37.8630815,145.0764218,"69a Munro Av, Ashburton","Munro Avenue, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
618,-37.8593403,145.0912834,"3a Mernda Av, Ashburton","Mernda Avenue, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
624,-37.8695328,145.0868337,"1/24 Crete Av, Ashburton","Crete Avenue, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
625,-37.868546,145.0838233,"18 Alamein Av, Ashburton","Alamein Avenue, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
626,-37.86933135,145.0848007,"3 Lae Ct, Ashburton","Lae Court, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
629,-37.868546,145.0838233,"36 Alamein Av, Ashburton","Alamein Avenue, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
636,-37.8630815,145.0764218,"34 Munro Av, Ashburton","Munro Avenue, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
637,-37.868651,145.0901356,"2a Lancaster St, Ashburton","Lancaster Street, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
638,-37.8705479,145.0845019,"1/1 Ramu Gr, Ashburton","Ramu Grove, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
643,-37.8607679,145.0883525,"50a Baker Pde, Ashburton","Baker Parade, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
647,-37.8669705,145.0814741,"34 Morotai Av, Ashburton","Morotai Avenue, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
649,-37.8652471,145.083876,"26 Tarakan Av, Ashburton","Tarakan Avenue, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
652,-37.8670087,145.0883777,"56 Gloucester Rd, Ashburton","Gloucester Road, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
656,-37.8713293,145.0687867,"3/4 Annetta Av, Ashburton","Annetta Avenue, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
657,-37.868546,145.0838233,"20 Alamein Av, Ashburton","Alamein Avenue, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
658,-37.868546,145.0838233,"55 Alamein Av, Ashburton","Alamein Avenue, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
660,-37.8620742,145.0920471,"16 Dunscombe Av, Ashburton","Dunscombe Avenue, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
678,-37.868651,145.0901356,"15 Lancaster St, Ashburton","Lancaster Street, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
696,-37.8672041,145.0954041,"2/25 May Park Av, Ashwood","May Park Avenue, Ashwood, Melbourne, City of Monash, Victoria, 3125, Australia"
698,-37.8628611,145.1075588,"50 Cassinia Av, Ashwood","Cassinia Avenue, Ashwood, Melbourne, City of Monash, Victoria, 3125, Australia"
699,-37.8582058,145.1034433,"12 Delta Av, Ashwood","Delta Avenue, Ashwood, Melbourne, City of Monash, Victoria, 3125, Australia"
706,-37.8708412,145.1109798,"2/21 Electra Av, Ashwood","Electra Avenue, Ashwood, Melbourne, City of Monash, Victoria, 3125, Australia"
709,-37.8731355,145.0949426,"44 Power Av, Ashwood","Power Avenue, Ashwood, Melbourne, City of Monash, Victoria, 3148, Australia"
711,-37.8617354,145.0935851,"13 Edmonds Av, Ashwood","Edmonds Avenue, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
712,-37.871494,145.0982383,"7 Jingella Av, Ashwood","Jingella Avenue, Ashwood, Melbourne, City of Monash, Victoria, 3148, Australia"
715,-37.8727461,145.1073995,"2/11 Salisbury Rd, Ashwood","Salisbury Road, Ashwood, Melbourne, City of Monash, Victoria, 3125, Australia"
718,-37.8640675,145.1112345,"15b Rocklands Rd, Ashwood","Rocklands Road, Ashwood, Melbourne, City of Monash, Victoria, 3125, Australia"
725,-37.8693279,145.0949822,"31a Shaw St, Ashwood","Shaw Street, Ashwood, Melbourne, City of Monash, Victoria, 3125, Australia"
727,-37.8708412,145.1109798,"1/27 Electra Av, Ashwood","Electra Avenue, Ashwood, Melbourne, City of Monash, Victoria, 3125, Australia"
735,-37.8658504,145.1105598,"6a Sylvan Cr, Ashwood","Sylvan Crescent, Ashwood, Melbourne, City of Monash, Victoria, 3125, Australia"
737,-37.8726679,145.1095859,"2/2 Heather Av, Ashwood","Heather Avenue, Ashwood, Melbourne, City of Monash, Victoria, 3125, Australia"
747,-37.7638629,144.8656487,"13 MacEy Av, Avondale Heights","Macey Avenue, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia"
758,-37.7501026,144.8533525,"16 Arcade Wy, Avondale Heights","Arcade Way, Keilor East, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3033, Australia"
763,-37.7501026,144.8533525,"9 Arcade Wy, Avondale Heights","Arcade Way, Keilor East, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3033, Australia"
767,-37.7689862,144.8599572,"43 Riverside Av, Avondale Heights","Riverside Avenue, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia"
768,-37.7615762,144.8646359,"35 Templewood Cr, Avondale Heights","Templewood Crescent, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia"
771,-37.7615762,144.8646359,"40 Templewood Cr, Avondale Heights","Templewood Crescent, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia"
773,-37.7639779,144.8666716,"15 Dumas Av, Avondale Heights","Dumas Avenue, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia"
776,-37.7615762,144.8646359,"129 Templewood Cr, Avondale Heights","Templewood Crescent, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia"
787,-37.7638629,144.8656487,"25 MacEy Av, Avondale Heights","Macey Avenue, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia"
791,-37.7718701,144.8572938,"18 Langham St, Avondale Heights","Langham Street, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia"
793,-37.7517993,144.8541819,"23 River Dr, Avondale Heights","River Drive, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia"
794,-37.7711528,144.8622209,"17 Lacy St, Avondale Heights","Lacy Street, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia"
796,-37.7615762,144.8646359,"1 Templewood Cr, Avondale Heights","Templewood Crescent, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia"
798,-37.760837,144.8645351,"7 Landau Pl, Avondale Heights","Landau Place, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia"
808,-37.7645889,144.8641467,"17 Cresswold Av, Avondale Heights","Cresswold Avenue, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia"
809,-37.7504192,144.8600348,"1/1 Amis Cr, Avondale Heights","Amis Crescent, Keilor East, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia"
810,-37.7669634,144.8672209,"7 Arvern Av, Avondale Heights","Arvern Avenue, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia"
811,-37.7544472,144.8702223,"17 Cannes Av, Avondale Heights","Cannes Avenue, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia"
820,-37.7713312,144.8640274,"14 Laura Gr, Avondale Heights","Laura Grove, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia"
829,-37.871283,144.9893506,"7/38 Brighton Rd, Balaclava","Brighton Road, St Kilda, Balaclava, Melbourne, City of Port Phillip, Victoria, 3182, Australia"
851,-37.8055816,145.0840168,"19 Belgrove Av, Balwyn","Belgrove Avenue, Balwyn, Melbourne, City of Boroondara, Victoria, 3103, Australia"
852,-37.8055816,145.0840168,"26 Belgrove Av, Balwyn","Belgrove Avenue, Balwyn, Melbourne, City of Boroondara, Victoria, 3103, Australia"
861,,,"120/188 Whitehorse Rd, Balwyn",
862,-37.8114744,145.09338,"12/37 Banool Rd, Balwyn","Banool Road, Balwyn, Melbourne, City of Boroondara, Victoria, 3103, Australia"
866,-37.8104174,145.0989387,"137 Yarrbat Av, Balwyn","Yarrbat Avenue, Balwyn, Melbourne, City of Boroondara, Victoria, 3103, Australia"
878,-37.8093922,145.0663628,"24 Bennett St, Balwyn","Bennett Street, Deepdene, Melbourne, City of Boroondara, Victoria, 3103, Australia"
885,-37.8104174,145.0989387,"89 Yarrbat Av, Balwyn","Yarrbat Avenue, Balwyn, Melbourne, City of Boroondara, Victoria, 3103, Australia"
887,-37.8158475,145.0859947,"2/42 Talbot Av, Balwyn","Talbot Avenue, Balwyn, Melbourne, City of Boroondara, Victoria, 3103, Australia"
889,-37.8144961,145.0995004,"4/339 Union Rd, Balwyn","Union Road, Balwyn, Surrey Hills, Melbourne, City of Boroondara, Victoria, 3127, Australia"
892,-37.8075834,145.0728295,"68 Elliott Av, Balwyn","Elliott Avenue, Balwyn, Deepdene, Melbourne, City of Boroondara, Victoria, 3103, Australia"
893,-37.8169031,145.0871459,"2/23 Northcote Av, Balwyn","Northcote Avenue, Balwyn, Melbourne, City of Boroondara, Victoria, 3103, Australia"
894,-37.8056123,145.0858045,"6 Tonkin Av, Balwyn","Tonkin Avenue, Balwyn, Melbourne, City of Boroondara, Victoria, 3103, Australia"
898,-37.8055816,145.0840168,"11 Belgrove Av, Balwyn","Belgrove Avenue, Balwyn, Melbourne, City of Boroondara, Victoria, 3103, Australia"
902,-37.8149676,145.0865039,"7/1 Conway Cr, Balwyn","Conway Crescent, Balwyn, Melbourne, City of Boroondara, Victoria, 3103, Australia"
